RSN,rank,4096,128,135.0,0.34,2097152
RSN,select,4096,128,213679.8,1231.53,2048
RSL,rank,4096,128,80.4,0.18,4194304
RSL,select,4096,128,2037.4,8.81,131072
RSSE,rank,1,4096,128,2914.4,6.32,131072
RSSE,select,1,4096,128,2403.6,2.13,131072
RSSE,rank,2,4096,128,3709.0,6.11,131072
RSSE,select,2,4096,128,4031.9,5.02,65536
RSSE,rank,3,4096,128,4242.7,18.47,65536
RSSE,select,3,4096,128,5975.0,14.40,65536
RSSE,rank,4,4096,128,4713.5,14.54,65536
RSSE,select,4,4096,128,7152.0,11.75,65536
RSSE,rank,5,4096,128,5101.9,10.50,65536
RSSE,select,5,4096,128,8989.2,19.88,32768
RSSE,rank,6,4096,128,5835.6,19.06,65536
RSSE,select,6,4096,128,11235.0,13.07,32768
RSSE,rank,7,4096,128,6483.0,19.40,65536
RSSE,select,7,4096,128,11466.7,23.76,32768
RSSE,rank,8,4096,128,6641.6,13.50,65536
RSSE,select,8,4096,128,12829.4,23.84,32768
RSSE,rank,9,4096,128,7407.6,11.18,65536
RSSE,select,9,4096,128,14636.1,50.47,32768
RSSE,rank,10,4096,128,7321.9,20.17,65536
RSSE,select,10,4096,128,15539.7,33.22,16384

RSN,rank,8192,256,272.8,0.74,1048576
RSN,select,8192,256,3478600.3,12588.93,128
RSL,rank,8192,256,156.0,0.33,2097152
RSL,select,8192,256,4221.2,55.63,65536
RSSE,rank,1,8192,256,5706.1,16.68,65536
RSSE,select,1,8192,256,5286.5,19.49,65536
RSSE,rank,2,8192,256,7212.3,12.18,65536
RSSE,select,2,8192,256,7717.8,5.35,32768
RSSE,rank,3,8192,256,8429.0,71.62,32768
RSSE,select,3,8192,256,11069.3,39.81,32768
RSSE,rank,4,8192,256,9648.4,34.04,32768
RSSE,select,4,8192,256,12682.0,23.62,32768
RSSE,rank,5,8192,256,10389.6,43.47,32768
RSSE,select,5,8192,256,16252.3,24.47,16384
RSSE,rank,6,8192,256,11748.9,17.57,32768
RSSE,select,6,8192,256,19006.8,35.62,16384
RSSE,rank,7,8192,256,12479.1,17.14,32768
RSSE,select,7,8192,256,20599.7,49.13,16384
RSSE,rank,8,8192,256,14354.7,39.70,32768
RSSE,select,8,8192,256,23455.6,52.08,16384
RSSE,rank,9,8192,256,15311.0,25.36,16384
RSSE,select,9,8192,256,27043.6,39.55,16384
RSSE,rank,10,8192,256,15907.4,91.27,16384
RSSE,select,10,8192,256,31937.4,128.23,8192

RSN,rank,16384,512,582.1,37.53,524288
RSN,select,16384,512,17933831.9,936387.91,16
RSL,rank,16384,512,313.6,0.81,1048576
RSL,select,16384,512,17173.8,54.41,16384
RSSE,rank,1,16384,512,10922.4,16.23,32768
RSSE,select,1,16384,512,10529.6,77.53,32768
RSSE,rank,2,16384,512,14484.5,18.33,32768
RSSE,select,2,16384,512,14921.2,73.89,32768
RSSE,rank,3,16384,512,16767.1,47.88,16384
RSSE,select,3,16384,512,21099.7,65.24,16384
RSSE,rank,4,16384,512,18921.1,7.65,16384
RSSE,select,4,16384,512,23730.5,60.46,16384
RSSE,rank,5,16384,512,21427.7,88.26,16384
RSSE,select,5,16384,512,32360.9,89.35,8192
RSSE,rank,6,16384,512,23691.2,141.62,16384
RSSE,select,6,16384,512,37255.4,178.30,8192
RSSE,rank,7,16384,512,26027.3,80.75,16384
RSSE,select,7,16384,512,46365.0,150.67,8192
RSSE,rank,8,16384,512,28125.4,60.65,16384
RSSE,select,8,16384,512,49469.2,128.01,8192
RSSE,rank,9,16384,512,29438.6,103.59,16384
RSSE,select,9,16384,512,54819.3,86.62,8192
RSSE,rank,10,16384,512,32840.5,82.98,8192
