array,p,queries,time,dceviation,iterations
OtherArray,1,524288,48322918.8,139344.14,8
OtherArray,2,524288,48223148.8,200232.64,8
OtherArray,3,524288,48166262.5,96618.57,8
OtherArray,4,524288,47994048.8,201242.33,8
OtherArray,5,524288,48440198.8,235339.80,8
OtherArray,6,524288,47772463.8,211663.91,8
OtherArray,7,524288,48727346.3,98214.08,8
OtherArray,8,524288,48385722.5,181296.88,8
OtherArray,9,524288,47814266.3,153199.25,8
OtherArray,10,524288,48063980.0,155646.12,8
OtherArray,11,524288,48223007.5,198778.51,8
OtherArray,12,524288,48027533.8,172896.59,8
OtherArray,13,524288,48240482.5,200692.17,8
OtherArray,14,524288,48398867.5,183925.33,8
OtherArray,15,524288,48050398.8,165611.43,8
OtherArray,16,524288,48404600.0,199102.16,8
OtherArray,17,524288,48244535.0,168573.37,8
OtherArray,18,524288,48327688.8,184412.33,8
OtherArray,19,524288,48459173.8,111515.66,8
OtherArray,20,524288,48518376.3,199072.39,8
OtherArray,21,524288,48304075.0,105340.06,8
OtherArray,22,524288,48330090.0,138323.91,8
OtherArray,23,524288,48332521.3,137649.10,8
OtherArray,24,524288,48104476.3,196655.51,8
OtherArray,25,524288,48302880.0,136430.78,8
OtherArray,26,524288,48648172.5,285599.41,8
OtherArray,27,524288,48214963.8,162123.94,8
OtherArray,28,524288,48379808.8,120427.44,8
OtherArray,29,524288,48259505.0,128545.49,8
OtherArray,30,524288,48395758.8,151517.68,8
OtherArray,31,524288,48533683.8,154991.43,8
OtherArray,32,524288,48579895.0,86558.71,8
OtherArray,33,524288,48459428.8,171058.68,8
OtherArray,34,524288,48573178.8,128494.89,8
OtherArray,35,524288,48970162.5,196749.09,8
OtherArray,36,524288,48676367.5,104673.39,8
OtherArray,37,524288,48855993.8,167598.37,8
OtherArray,38,524288,48843993.8,87767.19,8
OtherArray,39,524288,48956175.0,215659.72,8
OtherArray,40,524288,48990911.3,220689.97,8
OtherArray,41,524288,48875625.0,170158.24,8
OtherArray,42,524288,49413515.0,455349.30,8
OtherArray,43,524288,49150218.8,197006.24,8
OtherArray,44,524288,49384980.0,211050.72,8
OtherArray,45,524288,49576763.8,954737.93,8
OtherArray,46,524288,49538452.5,173365.97,8
OtherArray,47,524288,49643372.5,142844.61,8
OtherArray,48,524288,49467108.8,179823.75,8
OtherArray,49,524288,49587265.0,217638.29,8
OtherArray,50,524288,49356745.0,158499.44,8
